version,threads,scheduler,chunk,width,height,taskA,taskB,hist_atomic,hist_local,total,affinity
optimized,4,static,1,7680,4320,7.46356,1.60647,0.384226,0.0215501,9.09159,none
optimized,4,static,4,7680,4320,7.39809,1.59798,0.487416,0.0298044,9.02587,none
optimized,4,static,8,7680,4320,7.32245,1.62663,0.376973,0.0221047,8.97119,none
optimized,4,static,16,7680,4320,7.29128,1.6531,0.365402,0.0202161,8.96459,none
optimized,4,static,32,7680,4320,7.38766,1.54525,0.364344,0.0237939,8.9567,none
optimized,4,static,64,7680,4320,7.29367,1.73353,0.393619,0.022186,9.04939,none
optimized,4,static,128,7680,4320,7.68565,1.52664,0.36435,0.0194938,9.23179,none
optimized,4,dynamic,1,7680,4320,7.8117,2.17704,0.374486,0.0264371,10.0152,none
optimized,4,dynamic,4,7680,4320,7.41208,1.59584,0.381582,0.0240628,9.03199,none
optimized,4,dynamic,8,7680,4320,7.45534,1.67844,0.52138,0.0185951,9.15238,none
optimized,4,dynamic,16,7680,4320,7.2193,1.61502,0.386145,0.0225037,8.85682,none
optimized,4,dynamic,32,7680,4320,7.35333,1.64218,0.361729,0.030879,9.02639,none
optimized,4,dynamic,64,7680,4320,7.20185,1.69699,0.515828,0.0200678,8.91891,none
optimized,4,dynamic,128,7680,4320,7.31681,1.75563,0.411503,0.0414909,9.11392,none
optimized,4,guided,1,7680,4320,9.7772,1.62756,0.517055,0.0293298,11.4341,none
optimized,4,guided,4,7680,4320,9.25915,2.09293,0.546045,0.028308,11.3804,none
optimized,4,guided,8,7680,4320,9.82061,1.82256,0.371667,0.0198309,11.663,none
optimized,4,guided,16,7680,4320,9.68442,1.47968,0.50137,0.0271748,11.1913,none
optimized,4,guided,32,7680,4320,9.59025,1.60819,0.535208,0.0203915,11.2188,none
optimized,4,guided,64,7680,4320,9.77739,1.56184,0.541297,0.0194081,11.3586,none
optimized,4,guided,128,7680,4320,13.6977,2.67902,0.443053,0.0265877,16.4033,none
